customer_id,monthly_income,bank_deposits,checking_balance,savings_balance,credit_card_limit,credit_card_balance,credit_utilization_ratio,business_lending,existing_monthly_debt_payment,total_deposit_balance,deposit_to_income_ratio
CUST00001,51916.56,1365784.88,173758.24,790230.17,207711.53,6690.19,0.032,743025.13,23011.36,2329773.29,3.74
CUST00002,54695.66,1232480.83,58494.62,552113.34,46628.12,6594.13,0.141,43596.49,16395.37,1843088.79,2.808
CUST00003,63544.94,1198496.17,223448.02,761389.46,135795.38,7493.89,0.055,1074104.35,16676.04,2183333.65,2.863
CUST00004,241570.34,6844646.5,938998.58,3182353.04,578453.76,64228.52,0.111,307539.64,24863.1,10965998.12,3.783
CUST00005,101876.93,2390251.6,263331.04,1548728.9,154897.45,18215.78,0.118,44671.51,36380.05,4202311.54,3.437
CUST00006,61037.78,1424383.84,205456.44,876897.81,201231.36,67734.85,0.337,65932.25,19204.3,2506738.09,3.422
CUST00007,91359.23,1712401.81,204084.71,794749.7,143833.46,14500.15,0.101,2151537.99,32028.26,2711236.22,2.473
CUST00008,114275.72,3558952.19,175897.08,2108219.6,244584.81,17734.93,0.073,155300.13,71069.39,5843068.87,4.261
CUST00009,95583.91,1872555.39,209304.81,659802.08,172784.09,81114.26,0.469,141283.58,23315.44,2741662.28,2.39
CUST00010,76409.04,1983795.89,198025.05,1129999.1,223886.06,42622.85,0.19,120705.29,2482.17,3311820.04,3.612
CUST00011,20092.88,299176.48,30815.89,140474.47,75580.54,9866.6,0.131,203931.41,4885.06,470466.84,1.951
CUST00012,86124.91,1339068.78,95384.49,643224.43,107761.46,46825.99,0.435,334884.24,57105.15,2077677.7,2.01
CUST00013,97702.96,1955232.87,213278.87,963178.94,154499.89,5705.14,0.037,285001.66,21170.69,3131690.68,2.671
CUST00014,217525.68,4611748.37,197294.42,1376261.11,219879.34,77840.94,0.354,691460.86,47113.49,6185303.9,2.37
CUST00015,27464.27,636001.45,109673.06,398101.23,107190.96,14983.77,0.14,299876.96,4175.81,1143775.74,3.47
CUST00016,125448.64,6120460.97,1203453.57,3301842.68,110336.17,22889.1,0.207,182109.02,57603.1,10625757.22,7.059
CUST00017,49257.04,654191.2,31187.24,175884.52,213148.71,42485.38,0.199,114165.91,15230.61,861262.96,1.457
CUST00018,232870.91,4769471.62,875478.36,1193622.27,442328.4,90187.91,0.204,201654.73,125019.64,6838572.25,2.447
CUST00019,66116.72,626570.25,36347.13,317911.58,262397.87,21579.21,0.082,853316.42,1757.04,980828.96,1.236
CUST00020,72689.56,1253876.65,138871.04,455102.92,290074.65,64000.63,0.221,138584.91,37610.7,1847850.61,2.118
CUST00021,174228.38,2661593.87,226457.57,1055969.64,430330.74,23803.84,0.055,932913.72,63885.51,3944021.08,1.886
CUST00022,186778.07,6245508.57,1090039.63,3781590.78,246182.3,39427.23,0.16,187313.87,19090.61,11117138.98,4.96
CUST00023,131833.28,4773905.69,674249.12,2222252.53,464194.89,20847.24,0.045,211179.12,47079.8,7670407.34,4.849
CUST00024,100332.58,1575340.5,115029.5,706189.32,432156.65,87877.79,0.203,121534.58,6621.11,2396559.32,1.991
CUST00025,58122.23,1027104.4,162993.49,355045.81,81255.4,26787.93,0.33,817774.26,32635.32,1545143.7,2.215
CUST00026,55684.74,1122096.64,48940.86,675412.65,78303.34,9331.43,0.119,100791.08,3220.48,1846450.15,2.763
CUST00027,29899.33,709269.71,105290.84,349469.53,59552.9,25610.09,,129872.1,2077.51,1164030.08,3.244
CUST00028,104549.33,1499786.26,155277.38,839361.38,322059.75,21364.86,0.066,184074.21,54641.74,2494425.02,1.988
CUST00029,116808.02,3967915.35,301326.05,1263104.64,501508.64,118192.02,0.236,529053.15,43091.81,5532346.04,3.947
CUST00030,44515.23,579056.61,34785.22,162425.58,179244.28,50238.11,0.28,157088.01,22468.65,776267.41,1.453
CUST00031,214379.66,8114474.27,779146.61,4110411.53,174835.02,114969.19,0.658,39551.05,50761.01,13004032.41,5.055
CUST00032,62861.81,1924661.06,320559.74,1191850.77,81276.84,24905.39,0.306,186106.48,16113.59,3437071.57,4.556
CUST00033,40764.91,1024645.79,111939.49,288684.55,102103.13,35388.74,0.347,97253.8,20464.92,1425269.83,2.914
CUST00034,56372.09,992154.94,104927.2,272209.95,74757.9,30110.98,0.403,292425.64,10065.25,1369292.09,2.024
CUST00035,56502.31,947919.51,81761.62,351018.72,141843.69,53293.56,0.376,50938.81,27138.46,1380699.85,2.036
CUST00036,29965.89,331853.17,41793.6,189742.46,116013.32,40373.8,0.348,169396.56,14004.0,563389.23,1.567
CUST00037,62364.23,958569.23,145374.81,471349.64,192322.3,53634.84,0.279,137596.45,41137.21,1575293.68,2.105
CUST00038,36296.1,692577.91,53998.81,262501.07,84784.69,22751.31,0.268,184813.04,5009.47,1009077.79,2.317
CUST00039,33484.89,796863.31,85758.89,313405.83,137333.42,18622.07,0.136,126176.27,7664.29,1196028.03,2.977
CUST00040,74795.6,2649734.09,181057.59,1071528.44,334921.25,40139.41,0.12,37894.83,22729.9,3902320.12,4.348
CUST00041,55156.26,823391.55,125511.83,524691.15,139187.96,23118.72,0.166,281865.18,13038.81,1473594.53,2.226
CUST00042,48759.94,921506.95,117124.68,581527.47,123716.26,6655.75,0.054,889727.38,9262.82,1620159.1,2.769
CUST00043,80016.06,1539721.69,260479.52,742593.38,114563.51,64563.13,0.564,85645.62,30741.63,2542794.59,2.648
CUST00044,59874.85,1226755.65,119843.21,677423.65,231396.01,74917.95,0.324,59010.37,32357.33,2024022.51,2.817
CUST00045,104931.24,2823902.03,184725.38,734345.29,289134.52,129225.4,0.447,1004050.61,22583.62,3742972.7,2.973
CUST00046,109529.9,2042160.06,184334.98,1243118.83,244445.06,39269.91,0.161,906270.95,43936.22,3469613.87,2.64
CUST00047,94058.48,985535.25,157314.91,250695.19,121503.47,28323.91,0.233,302769.71,2459.92,1393545.35,1.235
CUST00048,59810.4,734801.94,104765.14,398685.34,48916.15,15947.64,0.326,495953.54,11696.82,1238252.42,1.725
CUST00049,49623.82,1368163.4,84934.6,834334.91,79651.24,10471.7,0.131,129111.19,10528.47,2287432.91,3.841
CUST00050,184811.81,4093978.94,793067.84,1463240.01,209848.02,13432.33,0.064,61911.55,43071.61,6350286.79,2.863
CUST00051,119030.02,3313340.76,338842.71,1744060.9,475799.23,145556.81,0.306,126805.63,31543.58,5396244.37,3.778
CUST00052,64533.45,1480839.3,220300.29,543789.51,116076.01,12648.35,0.109,93534.37,52940.0,2244929.1,2.899
CUST00053,72865.56,1217557.46,133294.36,414432.44,203055.86,116817.04,0.575,1687634.9,24687.39,1765284.26,
