loan_id,credit_score,debt_to_income_ratio,loan_to_value_ratio,missed_payments_12m,days_past_due,repayment_status,default_flag,risk_band,expected_loss_amount
LOAN000001,701.0,0.438,,0,0,Current,0,Low,11667.54
LOAN000002,690.0,0.764,0.7,2,48,Current,0,Medium,113222.5
LOAN000003,684.0,0.63,0.628,0,0,Current,0,Low,41793.69
LOAN000004,695.0,0.889,,0,0,Current,0,Medium,441283.42
LOAN000005,670.0,0.592,0.927,0,0,Current,0,Medium,7973.7
LOAN000006,718.0,0.601,0.828,0,0,Current,0,Low,133398.01
LOAN000007,624.0,0.688,0.861,1,21,Paid Off,0,Medium,31546.89
LOAN000008,690.0,0.679,0.747,7,180,Defaulted,1,High,105553.22
LOAN000009,684.0,1.044,0.528,4,72,Current,0,High,576576.36
LOAN000010,671.0,0.548,0.758,0,0,Current,0,Low,9028.5
LOAN000011,624.0,0.906,,8,180,Defaulted,1,High,5290195.92
LOAN000012,754.0,0.327,0.643,0,0,Current,0,Low,1878.36
LOAN000013,678.0,0.558,0.525,4,173,Defaulted,1,Medium,8934.17
LOAN000014,707.0,0.456,,0,0,Current,0,Low,15817.31
LOAN000015,733.0,0.369,,1,14,Paid Off,0,Low,11682.56
LOAN000016,,0.12,0.891,1,17,Current,0,Low,7095.6
LOAN000017,658.0,0.439,0.505,0,0,Current,0,Low,45321.71
LOAN000018,601.0,0.679,0.562,4,100,Late,0,High,251583.41
LOAN000019,729.0,0.368,0.725,0,0,Current,0,Low,44342.64
LOAN000020,642.0,0.813,0.906,6,162,Defaulted,1,High,725986.94
LOAN000021,672.0,0.642,0.688,2,44,Current,0,Medium,86512.99
LOAN000022,669.0,0.267,,0,0,Current,0,Low,5378.21
LOAN000023,699.0,0.566,0.613,6,142,Defaulted,1,High,95101.55
LOAN000024,653.0,0.711,0.699,0,0,Current,0,Medium,48527.89
LOAN000025,626.0,0.288,,1,17,Current,0,Medium,17783.41
LOAN000026,671.0,0.212,,0,0,Current,0,Low,2703.77
LOAN000027,748.0,0.449,0.742,0,0,Current,0, Low ,8859.28
LOAN000028,665.0,0.661,0.742,0,0,Current,0,Medium,139997.55
LOAN000029,707.0,0.304,,0,0,Current,0,Low,2898.09
LOAN000030,728.0,0.504,0.688,0,0,Current,0,Low,68055.25
LOAN000031,766.0,0.091,,0,0,Current,0,Low,982.03
LOAN000032,727.0,0.61,0.748,0,0,Current,0,Low,72159.56
LOAN000033,654.0,0.569,0.552,0,0,Current,0,Medium,89843.06
LOAN000034,752.0,0.177,0.729,0,0,Current,0,Low,4274.24
LOAN000035,703.0,0.373,,1,19,Current,0,Low,2142.9
LOAN000036,659.0,0.498,0.586,8,180,Defaulted,1,High,6321.97
LOAN000037,650.0,0.621,0.636,0,0,Current,0,Medium,184115.04
LOAN000038,697.0,0.403,,0,0,Current,0,Low,4028.36
LOAN000039,703.0,0.365,,0,0,Current,0,Low,4859.16
