loan_id,customer_id,loan_type,loan_amount,loan_term_months,interest_rate,loan_start_date,collateral_type,collateral_value,monthly_loan_payment,loan_purpose
LOAN000001,CUST07874,Education Loan,476245.49,67,9.82,2023-08-14,Unsecured,0.0,9262.29,Higher Education
LOAN000002,CUST05835,Home Loan,2900138.6,248,9.86,2021-08-08,Property,4143693.51,27434.77,Home Purchase
LOAN000003,CUST09330,Home Loan,1647702.57,249,7.6,2021-05-21,Property,2622794.55,13169.82,Home Purchase
LOAN000004,CUST03418,Business Loan,2737180.44,73,12.84,2019-02-23,Unsecured,0.0,54217.24,Business Expansion
LOAN000005,CUST07800,Auto Loan,271956.76,56,10.45,2021-02-03,Vehicle,293348.04,6157.08,Vehicle Purchase
LOAN000006,CUST07476,Home Loan,4820372.0,237,8.2,2024-09-14,Property,5820202.11,41127.3,Home Purchase
LOAN000007,CUST02735,Auto Loan,398989.28,62,11.14,2025-03-19,Vehicle,463575.69,8492.99,Vehicle Purchase
LOAN000008,CUST05090,Home Loan,3285371.56,230,7.45,2020-06-10,Property,4399653.37,26868.46,Home Purchase
LOAN000009,CUST13458,Business Loan,4562755.24,77,12.43,2021-05-19,Business Asset,8648015.93,86287.09,Business Expansion
LOAN000010,CUST01306,Auto Loan,402137.18,66,8.39,2018-07-24,Vehicle,530655.5,7627.43,Vehicle Purchase
LOAN000011,CUST08423,Business Loan,17186546.17,81,12.54,2023-11-20,Unsecured,0.0,315542.3,Business Expansion
LOAN000012,CUST03372,Auto Loan,174914.93,72,8.5,2023-07-29,Vehicle,272123.72,3109.7,Vehicle Purchase
LOAN000013,CUST13494,Auto Loan,472104.38,71,10.0,2023-12-11,Vehicle,899650.98,8836.19,Vehicle Purchase
LOAN000014,CUST04510,Personal Loan,612846.3,38,16.28,2018-02-10,Unsecured,0.0,20747.08,Personal Expense
LOAN000015,CUST12466,Personal Loan,582796.11,48,12.33,2024-01-08,Unsecured,0.0,15441.86,Personal Expense
LOAN000016,CUST07600,Auto Loan,975370.15,54,8.67,2024-07-11,Vehicle,1095058.64,21878.83,Vehicle Purchase
LOAN000017,CUST13581,Home Loan,3435200.94,242,10.7,2018-05-03,Property,6804285.45,34676.84,Home Purchase
LOAN000018,CUST04431,Business Loan,2239083.61,86,11.09,2022-11-16,Business Asset,3984311.11,37852.62,Business Expansion
LOAN000019,CUST07085,Home Loan,3409252.15,228,9.22,2019-08-28,Property,4701288.2,31736.45,Home Purchase
LOAN000020,CUST13203,Home Loan,6648621.84,249,10.56,2019-10-15,Property,7342466.93,65951.05,Home Purchase
LOAN000021,CUST00055,Home Loan,3134876.61,241,8.1,2024-07-18,Property,4554923.39,26372.88,Home Purchase
LOAN000022,CUST11270,Personal Loan,361669.29,32,13.1,2023-11-03,Unsecured,0.0,13451.94,Personal Expense
LOAN000023,CUST07071,Business Loan,2271360.37,91,13.48,2018-06-22,Business Asset,3707819.48,39982.48,Business Expansion
