investment_advisor,customer_segment,customers,median_income,median_deposits,total_deposits
Advisor A,Retail,1323,760007.64,2146820.24,3395200199.33
Advisor A,Priority,608,1005535.145,2676712.84,1988358667.9
Advisor A,Private Banking,615,1081953.9,2987224.18,2315137527.61
Advisor B,Retail,1293,758155.15,2037225.47,3362508819.75
Advisor B,Priority,632,938589.28,2548257.1950000003,2061533630.5
Advisor B,Private Banking,574,1076018.085,2897098.965,2137143872.96
Advisor C,Retail,1267,756465.34,1966103.96,3223010953.01
Advisor C,Priority,601,952684.84,2526492.54,1946329781.08
Advisor C,Private Banking,597,1116859.97,3085140.76,2316816068.14
Advisor D,Retail,1341,755189.8,1964994.39,3462161217.72
Advisor D,Priority,653,973069.47,2713126.3,2128753528.8700001
Advisor D,Private Banking,563,1149187.49,3103872.5,2164803557.42
Advisor E,Retail,1337,746705.73,1994699.31,3422493974.15
Advisor E,Priority,587,915499.34,2374374.28,1792714375.86
Advisor E,Private Banking,558,1129307.08,2895249.6399999997,2140180449.78
Advisor F,Retail,1260,745801.655,1964248.185,3200297628.41
Advisor F,Priority,602,980697.36,2674107.15,2059086117.44
Advisor F,Private Banking,589,1089298.6,2846849.78,2166104275.61
