feature,importance,importance_pct
days_past_due,0.42320836289365693,42.32
risk_band,0.23422477462072386,23.42
missed_payments_12m,0.1446266244988099,14.46
debt_to_income_ratio,0.041325684446130224,4.13
credit_score,0.03368179033923606,3.37
loan_to_income_ratio,0.01417805773217184,1.42
loan_type,0.011924122493239396,1.19
loan_purpose,0.0116936591218575,1.17
loan_amount,0.010092765376805412,1.01
monthly_loan_payment,0.008682364894647885,0.87
loan_term_months,0.007421941258508075,0.74
existing_monthly_debt_payment,0.0058819564751966475,0.59
interest_rate,0.004373543104679043,0.44
exposure_after_deposits,0.004358398719800048,0.44
collateral_type,0.0037388237611543362,0.37
business_lending,0.0029152563341935584,0.29
deposit_to_income_ratio,0.0027489414967436956,0.27
annual_income,0.0026081382690614,0.26
checking_balance,0.0025805372204309846,0.26
monthly_income,0.0025797020588300516,0.26
credit_card_limit,0.0025432267731754507,0.25
bank_deposits,0.002424244778114887,0.24
total_deposit_balance,0.0023981033662279763,0.24
loan_to_value_ratio,0.0022652443154910526,0.23
credit_utilization_ratio,0.002221485924739464,0.22
age,0.0022002575640635924,0.22
credit_card_balance,0.0021265899554566473,0.21
savings_balance,0.0020229630778006782,0.2
customer_tenure_years,0.0019212671275580034,0.19
state,0.0011867286914638137,0.12
customer_segment,0.0011622178336985558,0.12
employment_status,0.0010664739633162237,0.11
occupation,0.001001544535263049,0.1
city,0.0009268471099756707,0.09
loyalty_classification,0.0008864605523389746,0.09
gender,0.0008008993154391172,0.08
