field,loan_amount,interest_rate,credit_score,debt_to_income_ratio,loan_to_value_ratio,missed_payments_12m,days_past_due,expected_loss_amount,default_flag,annual_income,total_deposit_balance,credit_utilization_ratio
loan_amount,1.0,-0.40989955029521186,-0.25575314450400705,0.4848320772633588,-0.014533884007226053,0.24942115249877114,0.23412088912391035,0.649818695505845,0.16481855238323914,0.5407929671605645,0.4528668030937104,0.004457520953512859
interest_rate,-0.40989955029521186,1.0,0.07143806561409445,-0.14022517483577696,0.003261682433328973,-0.054401461127337625,-0.02981545173967758,-0.06987779678455529,0.0035858379226214794,0.010503944763044455,0.00044188074540074587,-0.004863155106997096
credit_score,-0.25575314450400705,0.07143806561409445,1.0,-0.5386705286754081,-0.0019270949247084184,-0.47947832806185786,-0.4289820915334626,-0.42448071225371187,-0.2538686795063729,-0.02035765003420059,-0.016889904368351263,-0.15645876602909872
debt_to_income_ratio,0.4848320772633588,-0.14022517483577696,-0.5386705286754081,1.0,-0.020746146227086315,0.5078905671024143,0.48128600556006673,0.630096773748653,0.3394658204339258,0.0453050439977798,0.03761225436032677,0.00040800879991552305
loan_to_value_ratio,-0.014533884007226053,0.003261682433328973,-0.0019270949247084184,-0.020746146227086315,1.0,0.004734688248862383,0.016457454109332643,0.02432481692663014,0.027748208975062524,-0.013958639157253427,-0.01765271874057084,0.012871433040777319
missed_payments_12m,0.24942115249877114,-0.054401461127337625,-0.47947832806185786,0.5078905671024143,0.004734688248862383,1.0,0.9002827678036525,0.3600688941927317,0.6237540313100448,0.030553712152629708,0.025985098028970352,0.06567887101078658
days_past_due,0.23412088912391035,-0.02981545173967758,-0.4289820915334626,0.48128600556006673,0.016457454109332643,0.9002827678036525,1.0,0.3698447594690886,0.8361268414411079,0.034190267451290966,0.03184409662799968,0.05876969942519011
expected_loss_amount,0.649818695505845,-0.06987779678455529,-0.42448071225371187,0.630096773748653,0.02432481692663014,0.3600688941927317,0.3698447594690886,1.0,0.30969515300235656,0.2927539961283361,0.23764976009555674,0.030655683269978435
default_flag,0.16481855238323914,0.0035858379226214794,-0.2538686795063729,0.3394658204339258,0.027748208975062524,0.6237540313100448,0.8361268414411079,0.30969515300235656,1.0,0.03505242795908994,0.03388866742925111,0.03805411087422051
annual_income,0.5407929671605645,0.010503944763044455,-0.02035765003420059,0.0453050439977798,-0.013958639157253427,0.030553712152629708,0.034190267451290966,0.2927539961283361,0.03505242795908994,1.0,0.821946028748133,-0.0012627317285845213
total_deposit_balance,0.4528668030937104,0.00044188074540074587,-0.016889904368351263,0.03761225436032677,-0.01765271874057084,0.025985098028970352,0.03184409662799968,0.23764976009555674,0.03388866742925111,0.821946028748133,1.0,-0.005934265726100219
credit_utilization_ratio,0.004457520953512859,-0.004863155106997096,-0.15645876602909872,0.00040800879991552305,0.012871433040777319,0.06567887101078658,0.05876969942519011,0.030655683269978435,0.03805411087422051,-0.0012627317285845213,-0.005934265726100219,1.0
