record_id,entity_id
R0000000,E000000
R0000001,E000001
R0000002,E000001
R0000003,E000001
R0000004,E000001
R0000005,E000002
R0000006,E000002
R0000007,E000003
R0000008,E000003
R0000009,E000004
R0000010,E000004
R0000011,E000005
R0000012,E000005
R0000013,E000006
R0000014,E000007
R0000015,E000007
R0000016,E000008
R0000017,E000008
R0000018,E000009
R0000019,E000009
R0000020,E000010
R0000021,E000010
R0000022,E000011
R0000023,E000011
R0000024,E000012
R0000025,E000012
R0000026,E000012
R0000027,E000013
R0000028,E000014
R0000029,E000014
R0000030,E000015
R0000031,E000016
R0000032,E000016
R0000033,E000017
R0000034,E000017
R0000035,E000018
R0000036,E000018
R0000037,E000018
R0000038,E000019
R0000039,E000019
R0000040,E000020
R0000041,E000021
R0000042,E000021
R0000043,E000022
R0000044,E000023
R0000045,E000024
R0000046,E000025
R0000047,E000025
R0000048,E000025
R0000049,E000026
R0000050,E000027
R0000051,E000027
R0000052,E000028
R0000053,E000029
R0000054,E000029
R0000055,E000030
R0000056,E000030
R0000057,E000030
R0000058,E000030
R0000059,E000031
R0000060,E000031
R0000061,E000031
R0000062,E000032
R0000063,E000033
R0000064,E000033
R0000065,E000034
R0000066,E000035
R0000067,E000035
R0000068,E000036
R0000069,E000036
R0000070,E000037
R0000071,E000037
R0000072,E000038
R0000073,E000038
R0000074,E000038
R0000075,E000039
R0000076,E000039
R0000077,E000040
R0000078,E000041
R0000079,E000041
R0000080,E000042
R0000081,E000043
R0000082,E000043
R0000083,E000044
R0000084,E000045
R0000085,E000045
R0000086,E000046
R0000087,E000047
R0000088,E000047
R0000089,E000047
R0000090,E000047
R0000091,E000048
R0000092,E000049
R0000093,E000049
R0000094,E000050
R0000095,E000051
R0000096,E000052
R0000097,E000053
R0000098,E000053
R0000099,E000054
R0000100,E000054
R0000101,E000055
R0000102,E000056
R0000103,E000056
R0000104,E000057
R0000105,E000058
R0000106,E000059
R0000107,E000060
R0000108,E000061
R0000109,E000061
R0000110,E000062
R0000111,E000063
R0000112,E000064
R0000113,E000065
R0000114,E000065
R0000115,E000065
R0000116,E000066
R0000117,E000067
R0000118,E000068
R0000119,E000069
R0000120,E000070
R0000121,E000070
R0000122,E000071
R0000123,E000072
R0000124,E000072
R0000125,E000073
R0000126,E000074
R0000127,E000075
R0000128,E000075
R0000129,E000076
R0000130,E000076
R0000131,E000076
R0000132,E000077
R0000133,E000077
R0000134,E000078
R0000135,E000078
R0000136,E000079
R0000137,E000079
R0000138,E000080
R0000139,E000081
R0000140,E000081
R0000141,E000082
R0000142,E000082
R0000143,E000083
R0000144,E000083
R0000145,E000083
R0000146,E000083
R0000147,E000084
R0000148,E000084
R0000149,E000084
R0000150,E000085
R0000151,E000085
R0000152,E000086
R0000153,E000086
R0000154,E000086
R0000155,E000086
R0000156,E000087
R0000157,E000087
R0000158,E000088
R0000159,E000089
R0000160,E000089
R0000161,E000089
R0000162,E000090
R0000163,E000091
R0000164,E000091
R0000165,E000092
R0000166,E000092
R0000167,E000093
R0000168,E000093
R0000169,E000094
R0000170,E000095
R0000171,E000095
R0000172,E000096
R0000173,E000096
R0000174,E000097
R0000175,E000097
R0000176,E000098
R0000177,E000099
R0000178,E000099
R0000179,E000100
R0000180,E000100
R0000181,E000101
R0000182,E000101
R0000183,E000102
R0000184,E000102
R0000185,E000103
R0000186,E000104
R0000187,E000104
R0000188,E000104
R0000189,E000105
R0000190,E000105
R0000191,E000106
R0000192,E000107
R0000193,E000107
R0000194,E000108
R0000195,E000108
R0000196,E000109
R0000197,E000109
R0000198,E000109
R0000199,E000110
R0000200,E000111
R0000201,E000112
R0000202,E000113
R0000203,E000113
R0000204,E000114
R0000205,E000114
R0000206,E000115
R0000207,E000115
R0000208,E000116
R0000209,E000116
R0000210,E000117
R0000211,E000118
R0000212,E000119
R0000213,E000120
R0000214,E000120
R0000215,E000121
R0000216,E000121
R0000217,E000122
R0000218,E000122
