i,j,score,accepted,guard_dropped
0,4154,0.9508415943534891,True,False
1,6837,0.9966903738660419,True,False
2,3234,0.9934753990350542,True,False
2,3341,0.9975340164615294,True,False
2,4260,0.9975340164615294,True,False
3,3257,0.9987516343887362,True,False
3,7403,0.9987516343887362,True,False
4,5503,0.9976962095979076,True,False
4,7083,0.9987516343887362,True,False
5,7018,0.9987516343887362,True,False
6,6760,0.9987516343887362,True,False
9,1672,0.9983884245508575,True,False
10,1512,0.9956300099634801,True,False
10,5423,0.9987516343887362,True,False
12,970,0.9934753990350542,True,False
12,1590,0.9934753990350542,True,False
12,3780,0.9737445694382172,True,False
13,1702,0.9950648084917336,True,False
14,5240,0.9934753990350542,True,False
15,3041,0.9987516343887362,True,False
16,6703,0.9975340164615294,True,False
17,745,0.9934753990350542,True,False
19,243,0.9984686580491425,True,False
20,317,0.9953097333751223,True,False
21,2971,0.9987516343887362,True,False
22,2648,0.9966903738660419,True,False
25,5242,0.9987516343887362,True,False
27,631,0.9978563561645535,True,False
28,33,0.9987516343887362,True,False
29,654,0.9976962095979076,True,False
31,4923,0.9979197595370883,True,False
34,5069,0.9984461500974169,True,False
34,5476,0.9987516343887362,True,False
35,4415,0.9976962095979076,True,False
36,5373,0.9982452686441156,True,False
36,5488,0.9982452686441156,True,False
37,1237,0.9939029047180966,True,False
37,2710,0.9976962095979076,True,False
37,7046,0.9966903738660419,True,False
39,7148,0.9987516343887362,True,False
43,6695,0.9987516343887362,True,False
46,1736,0.9966903738660419,True,False
46,4204,0.9987516343887362,True,False
46,4680,0.9966903738660419,True,False
47,6576,0.995400680151444,True,False
50,6925,0.9987516343887362,True,False
51,788,0.9987516343887362,True,False
52,4098,0.9943252407018788,True,False
53,1065,0.9983505803534152,True,False
56,187,0.9871775715711383,True,False
56,2493,0.9951345565222027,True,False
56,6242,0.9951345565222027,True,False
57,5936,0.9987516343887362,True,False
58,2055,0.9869952477161212,True,False
59,3723,0.9987516343887362,True,False
60,3929,0.9958128395225163,True,False
60,5331,0.9958128395225163,True,False
61,3010,0.9987516343887362,True,False
63,1223,0.9987516343887362,True,False
64,1286,0.9976962095979076,True,False
64,4452,0.9987516343887362,True,False
65,2281,0.9934753990350542,True,False
65,2691,0.9987516343887362,True,False
66,5957,0.9950692194805554,True,False
66,7149,0.9950692194805554,True,False
67,6437,0.9966903738660419,True,False
68,6640,0.9987516343887362,True,False
70,3500,0.9950692194805554,True,False
70,3773,0.9987516343887362,True,False
71,2638,0.9956300099634801,True,False
72,2877,0.9987516343887362,True,False
73,4348,0.9939029047180966,True,False
74,4611,0.9966903738660419,True,False
76,923,0.9987516343887362,True,False
76,3817,0.9966903738660419,True,False
76,7035,0.9973151677640237,True,False
77,1025,0.9987516343887362,True,False
77,5720,0.9987516343887362,True,False
77,5759,0.996535470187147,True,False
78,6383,0.9987516343887362,True,False
79,915,0.9987516343887362,True,False
80,5196,0.9948944964858136,True,False
81,448,0.9975340164615294,True,False
81,3566,0.9934753990350542,True,False
82,2030,0.9987516343887362,True,False
82,3268,0.996535470187147,True,False
82,5296,0.9987516343887362,True,False
84,578,0.9983039944199337,True,False
84,6171,0.8200311883083774,True,False
84,6378,0.9983039944199337,True,False
85,1434,0.9974112369640995,True,False
86,1793,0.9966903738660419,True,False
87,5278,0.9966903738660419,True,False
90,5928,0.9987516343887362,True,False
91,4381,0.8474468118784135,True,False
93,2266,0.9987516343887362,True,False
93,5359,0.9970051010599466,True,False
97,4863,0.9987516343887362,True,False
98,202,0.9966903738660419,True,False
98,5673,0.9987516343887362,True,False
99,1676,0.7507351053978171,True,False
99,5899,0.7728238047369974,True,False
100,3961,0.9987516343887362,True,False
101,4146,0.9987516343887362,True,False
102,1153,0.9973151677640237,True,False
103,6278,0.9987516343887362,True,False
105,1483,0.9983039944199337,True,False
106,4367,0.9987516343887362,True,False
107,6293,0.9939029047180966,True,False
108,3985,0.9987516343887362,True,False
109,3808,0.9987516343887362,True,False
110,7246,0.7752217905095999,True,False
111,1091,0.9943252407018788,True,False
111,3680,0.9987516343887362,True,False
111,7469,0.9950648084917336,True,False
113,2142,0.995400680151444,True,False
115,1867,0.9975340164615294,True,False
117,6730,0.9987516343887362,True,False
118,1200,0.9978563561645535,True,False
119,133,0.9951999406776808,True,False
119,479,0.9987516343887362,True,False
120,2023,0.7852511406434748,True,False
122,7488,0.9966903738660419,True,False
123,378,0.9983505803534152,True,False
123,4541,0.9983505803534152,True,False
125,1189,0.9987516343887362,True,False
125,4298,0.9966903738660419,True,False
126,940,0.9950648084917336,True,False
128,7162,0.9968294073503572,True,False
131,7102,0.9957300078086366,True,False
132,7241,0.9987516343887362,True,False
133,479,0.9951999406776808,True,False
135,1703,0.9981689989681672,True,False
138,4192,0.9953097333751223,True,False
140,5310,0.9987516343887362,True,False
140,6312,0.9983505803534152,True,False
141,6264,0.9966903738660419,True,False
145,2155,0.9966903738660419,True,False
145,4841,0.9987516343887362,True,False
147,5123,0.9953097333751223,True,False
147,5684,0.9876356745221663,True,False
148,1865,0.9987516343887362,True,False
148,4565,0.9981382614011772,True,False
149,7007,0.9978563561645535,True,False
150,646,0.9987516343887362,True,False
151,7060,0.9987516343887362,True,False
152,3335,0.9987516343887362,True,False
155,6341,0.995400680151444,True,False
156,4643,0.9956300099634801,True,False
157,667,0.9984686580491425,True,False
159,2646,0.9946380086980074,True,False
159,5776,0.9946380086980074,True,False
160,678,0.9969271015460225,True,False
161,5733,0.9966903738660419,True,False
164,263,0.9981689989681672,True,False
164,2919,0.9966903738660419,True,False
164,4425,0.9981689989681672,True,False
165,207,0.9979749008420777,True,False
165,1649,0.9979749008420777,True,False
166,6095,0.9983505803534152,True,False
167,6981,0.9987516343887362,True,False
168,5425,0.7518957691791132,True,False
168,5788,0.9979749008420777,True,False
168,6131,0.9987516343887362,True,False
169,514,0.9918834695588814,True,False
169,972,0.9946380086980074,True,False
169,2641,0.9979749008420777,True,False
170,947,0.9966903738660419,True,False
171,1601,0.9987516343887362,True,False
172,6895,0.9966903738660419,True,False
173,379,0.9953518047315162,True,False
173,3644,0.9953518047315162,True,False
174,2962,0.9987516343887362,True,False
175,3422,0.9869952477161212,True,False
176,2146,0.9966903738660419,True,False
177,4011,0.9966903738660419,True,False
178,4739,0.9984197686403924,True,False
181,1473,0.9987516343887362,True,False
181,5438,0.8627242056508485,True,False
182,922,0.9983505803534152,True,False
183,7259,0.9987516343887362,True,False
184,572,0.9966903738660419,True,False
184,5279,0.9966903738660419,True,False
185,3515,0.9966903738660419,True,False
186,3628,0.9958128395225163,True,False
186,5389,0.9958128395225163,True,False
187,2493,0.9966903738660419,True,False
187,6242,0.9966903738660419,True,False
193,4932,0.9948785963092984,True,False
194,413,0.9987516343887362,True,False
194,5319,0.9987516343887362,True,False
194,5548,0.8042542670399768,True,False
196,5999,0.9966903738660419,True,False
197,3524,0.9983505803534152,True,False
198,2755,0.9833451615993634,True,False
198,4239,0.9983505803534152,True,False
199,342,0.9987516343887362,True,False
200,1315,0.9966903738660419,True,False
201,2137,0.9954772360045787,True,False
202,5673,0.9966903738660419,True,False
203,270,0.9987516343887362,True,False
204,2260,0.8288667144097164,True,False
207,1649,0.9987516343887362,True,False
208,1208,0.9966903738660419,True,False
209,2782,0.9987516343887362,True,False
210,3050,0.9983505803534152,True,False
210,6367,0.9983505803534152,True,False
210,6797,0.9983505803534152,True,False
211,7111,0.9951999406776808,True,False
212,2078,0.9975340164615294,True,False
216,6886,0.9987516343887362,True,False
217,731,0.9953097333751223,True,False
220,2775,0.9987516343887362,True,False
221,5037,0.9966903738660419,True,False
222,1738,0.9984197686403924,True,False
223,2044,0.9966903738660419,True,False
224,4918,0.981182179498947,True,False
224,5947,0.981182179498947,True,False
225,6561,0.7510097740411201,True,False
225,7391,0.9987516343887362,True,False
226,6914,0.9987516343887362,True,False
228,2766,0.9951999406776808,True,False
228,5451,0.9951999406776808,True,False
229,5569,0.9983505803534152,True,False
230,1235,0.9943252407018788,True,False
231,4836,0.9976962095979076,True,False
232,968,0.9987516343887362,True,False
233,1114,0.8251056158013815,True,False
234,1874,0.9968294073503572,True,False
236,3429,0.9953097333751223,True,False
236,4762,0.9987516343887362,True,False
237,2720,0.9987516343887362,True,False
237,3754,0.9953518047315162,True,False
238,611,0.9987516343887362,True,False
240,2747,0.9987516343887362,True,False
242,3349,0.9950648084917336,True,False
245,296,0.9946380086980074,True,False
246,6586,0.9976962095979076,True,False
248,5513,0.9975340164615294,True,False
250,2990,0.9987516343887362,True,False
250,4856,0.9969271015460225,True,False
251,530,0.9987516343887362,True,False
251,6166,0.9983039944199337,True,False
252,2490,0.9987516343887362,True,False
253,1832,0.9966903738660419,True,False
255,3407,0.9987516343887362,True,False
256,5806,0.9987516343887362,True,False
257,5183,0.9939029047180966,True,False
258,2608,0.9976962095979076,True,False
258,3511,0.9987516343887362,True,False
259,5500,0.9981382614011772,True,False
260,2129,0.9976962095979076,True,False
262,6986,0.9987516343887362,True,False
263,2919,0.995150381172694,True,False
263,4425,0.9987516343887362,True,False
264,5878,0.9987516343887362,True,False
265,3641,0.9983884245508575,True,False
266,2452,0.9987516343887362,True,False
267,2500,0.9957300078086366,True,False
268,799,0.996535470187147,True,False
269,588,0.9983884245508575,True,False
271,3799,0.9987516343887362,True,False
272,3919,0.9975340164615294,True,False
272,4999,0.7745835271034792,True,False
272,5566,0.8142609970643555,True,False
272,5968,0.7745835271034792,True,False
272,7120,0.9975340164615294,True,False
273,921,0.9987516343887362,True,False
273,3320,0.995150381172694,True,False
274,4312,0.9873485260609695,True,False
274,5239,0.9873485260609695,True,False
274,6212,0.9873485260609695,True,False
276,420,0.9987516343887362,True,False
277,918,0.9953518047315162,True,False
277,4700,0.9966903738660419,True,False
280,755,0.9983039944199337,True,False
282,339,0.9983505803534152,True,False
283,3714,0.9987516343887362,True,False
284,1010,0.9957300078086366,True,False
285,1219,0.9935707990230515,True,False
287,1599,0.9920828818225981,True,False
287,4925,0.9970051010599466,True,False
287,6073,0.9966903738660419,True,False
289,4355,0.9978209634883989,True,False
290,3813,0.9981689989681672,True,False
290,7113,0.9795481281357218,True,False
292,5544,0.9987516343887362,True,False
293,785,0.9976962095979076,True,False
293,5724,0.9976962095979076,True,False
293,5726,0.9939029047180966,True,False
294,3415,0.9987516343887362,True,False
294,4708,0.9987516343887362,True,False
295,4608,0.9966903738660419,True,False
300,5224,0.9978563561645535,True,False
300,7117,0.9978563561645535,True,False
301,7470,0.9966903738660419,True,False
302,7356,0.9987516343887362,True,False
304,1246,0.9987516343887362,True,False
304,2004,0.9978209634883989,True,False
305,3245,0.9987516343887362,True,False
305,7284,0.9951999406776808,True,False
306,2929,0.9966903738660419,True,False
308,5165,0.9966903738660419,True,False
309,2430,0.9976962095979076,True,False
311,5021,0.9974112369640995,True,False
312,2021,0.9966903738660419,True,False
312,5396,0.9987516343887362,True,False
312,6908,0.9987516343887362,True,False
313,4015,0.9987516343887362,True,False
314,3097,0.9979749008420777,True,False
316,1109,0.9987516343887362,True,False
318,3839,0.9928989241848947,True,False
320,837,0.9981689989681672,True,False
320,2088,0.9987516343887362,True,False
320,5159,0.9987516343887362,True,False
321,2460,0.8424928871536954,True,False
323,1080,0.9953097333751223,True,False
323,5458,0.9953097333751223,True,False
