datum,m01ab,m01ae,n02ba,n02be,n05b,n05c,r03,r06,year,month,month_name,quarter,day,weekday,weekday_name,hour,total_sales
2014-01-02 08:00:00,0.0,0.67,0.4,2.0,0.0,0.0,0.0,1.0,2014,1,January,1,2,3,Thursday,8,4.07
2014-01-02 09:00:00,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2014,1,January,1,2,3,Thursday,9,3.0
2014-01-02 10:00:00,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2014,1,January,1,2,3,Thursday,10,5.0
2014-01-02 11:00:00,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2014,1,January,1,2,3,Thursday,11,3.0
2014-01-02 12:00:00,0.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0,2014,1,January,1,2,3,Thursday,12,9.0
2014-01-02 13:00:00,0.0,1.0,2.0,20.4,0.0,0.0,0.0,1.0,2014,1,January,1,2,3,Thursday,13,24.4
2014-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,2,3,Thursday,14,0.0
2014-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,2,3,Thursday,15,0.0
2014-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,2,3,Thursday,16,0.0
2014-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,2,3,Thursday,17,0.0
2014-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,2,3,Thursday,18,0.0
2014-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,2,3,Thursday,19,0.0
2014-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,2,3,Thursday,20,0.0
2014-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,2,3,Thursday,21,0.0
2014-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,2,3,Thursday,22,0.0
2014-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,2,3,Thursday,23,0.0
2014-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,3,4,Friday,0,0.0
2014-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,3,4,Friday,1,0.0
2014-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,3,4,Friday,2,0.0
2014-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,3,4,Friday,3,0.0
2014-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,3,4,Friday,4,0.0
2014-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,3,4,Friday,5,0.0
2014-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,3,4,Friday,6,0.0
2014-01-03 07:00:00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2014,1,January,1,3,4,Friday,7,1.0
2014-01-03 08:00:00,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,2014,1,January,1,3,4,Friday,8,0.6
2014-01-03 09:00:00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2014,1,January,1,3,4,Friday,9,2.0
2014-01-03 10:00:00,1.0,2.0,0.0,4.1,2.0,0.0,0.0,0.0,2014,1,January,1,3,4,Friday,10,9.1
2014-01-03 11:00:00,4.0,0.0,1.0,8.0,4.0,0.0,0.0,0.0,2014,1,January,1,3,4,Friday,11,17.0
2014-01-03 12:00:00,0.0,0.0,0.4,10.4,4.0,0.0,10.0,1.0,2014,1,January,1,3,4,Friday,12,25.8
2014-01-03 13:00:00,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,2014,1,January,1,3,4,Friday,13,7.0
2014-01-03 14:00:00,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2014,1,January,1,3,4,Friday,14,4.0
2014-01-03 15:00:00,1.0,0.0,0.0,3.0,0.0,0.0,6.0,2.0,2014,1,January,1,3,4,Friday,15,12.0
2014-01-03 16:00:00,0.0,1.0,0.0,4.2,0.0,0.0,2.0,0.0,2014,1,January,1,3,4,Friday,16,7.2
2014-01-03 17:00:00,1.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,2014,1,January,1,3,4,Friday,17,8.0
2014-01-03 18:00:00,0.0,0.0,1.0,0.3,2.0,0.0,0.0,0.0,2014,1,January,1,3,4,Friday,18,3.3
2014-01-03 19:00:00,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2014,1,January,1,3,4,Friday,19,2.0
2014-01-03 20:00:00,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2014,1,January,1,3,4,Friday,20,8.0
2014-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,3,4,Friday,21,0.0
2014-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,3,4,Friday,22,0.0
2014-01-03 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,3,4,Friday,23,0.0
2014-01-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,4,5,Saturday,0,0.0
2014-01-04 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,4,5,Saturday,1,0.0
2014-01-04 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,4,5,Saturday,2,0.0
2014-01-04 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,4,5,Saturday,3,0.0
2014-01-04 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,4,5,Saturday,4,0.0
2014-01-04 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,4,5,Saturday,5,0.0
2014-01-04 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,4,5,Saturday,6,0.0
2014-01-04 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,4,5,Saturday,7,0.0
2014-01-04 08:00:00,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,4,5,Saturday,8,1.2
2014-01-04 09:00:00,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2014,1,January,1,4,5,Saturday,9,9.0
2014-01-04 10:00:00,0.0,0.0,1.0,9.0,3.0,0.0,5.0,0.0,2014,1,January,1,4,5,Saturday,10,18.0
2014-01-04 11:00:00,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,2014,1,January,1,4,5,Saturday,11,8.0
2014-01-04 12:00:00,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2014,1,January,1,4,5,Saturday,12,2.0
2014-01-04 13:00:00,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2014,1,January,1,4,5,Saturday,13,4.0
2014-01-04 14:00:00,0.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,2014,1,January,1,4,5,Saturday,14,9.0
2014-01-04 15:00:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2014,1,January,1,4,5,Saturday,15,1.0
2014-01-04 16:00:00,0.0,0.0,0.3,6.0,0.0,0.0,0.0,0.0,2014,1,January,1,4,5,Saturday,16,6.3
2014-01-04 17:00:00,0.0,0.0,0.0,1.25,1.0,0.0,0.0,0.0,2014,1,January,1,4,5,Saturday,17,2.25
2014-01-04 18:00:00,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2014,1,January,1,4,5,Saturday,18,10.0
2014-01-04 19:00:00,0.0,0.0,3.0,9.0,0.0,0.0,4.0,1.0,2014,1,January,1,4,5,Saturday,19,17.0
2014-01-04 20:00:00,0.0,0.0,0.0,0.6,3.0,0.0,0.0,0.0,2014,1,January,1,4,5,Saturday,20,3.6
2014-01-04 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,4,5,Saturday,21,0.0
2014-01-04 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,4,5,Saturday,22,0.0
2014-01-04 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,4,5,Saturday,23,0.0
2014-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,5,6,Sunday,0,0.0
2014-01-05 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,5,6,Sunday,1,0.0
2014-01-05 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,5,6,Sunday,2,0.0
2014-01-05 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,5,6,Sunday,3,0.0
2014-01-05 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,5,6,Sunday,4,0.0
2014-01-05 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,5,6,Sunday,5,0.0
2014-01-05 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,5,6,Sunday,6,0.0
2014-01-05 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,5,6,Sunday,7,0.0
2014-01-05 08:00:00,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2014,1,January,1,5,6,Sunday,8,5.0
2014-01-05 09:00:00,0.0,0.0,1.0,5.2,2.0,0.0,0.0,0.0,2014,1,January,1,5,6,Sunday,9,8.2
2014-01-05 10:00:00,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2014,1,January,1,5,6,Sunday,10,4.0
2014-01-05 11:00:00,0.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,2014,1,January,1,5,6,Sunday,11,8.0
2014-01-05 12:00:00,1.0,2.0,2.0,12.9,3.0,0.0,0.0,0.0,2014,1,January,1,5,6,Sunday,12,20.9
2014-01-05 13:00:00,2.0,1.0,3.0,12.0,2.0,0.0,0.0,0.0,2014,1,January,1,5,6,Sunday,13,20.0
2014-01-05 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,5,6,Sunday,14,0.0
2014-01-05 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,5,6,Sunday,15,0.0
2014-01-05 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,5,6,Sunday,16,0.0
2014-01-05 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,5,6,Sunday,17,0.0
2014-01-05 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,5,6,Sunday,18,0.0
2014-01-05 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,5,6,Sunday,19,0.0
2014-01-05 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,5,6,Sunday,20,0.0
2014-01-05 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,5,6,Sunday,21,0.0
2014-01-05 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,5,6,Sunday,22,0.0
2014-01-05 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,5,6,Sunday,23,0.0
2014-01-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,6,0,Monday,0,0.0
2014-01-06 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,6,0,Monday,1,0.0
2014-01-06 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,6,0,Monday,2,0.0
2014-01-06 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,6,0,Monday,3,0.0
2014-01-06 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,6,0,Monday,4,0.0
2014-01-06 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,6,0,Monday,5,0.0
2014-01-06 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,6,0,Monday,6,0.0
2014-01-06 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,6,0,Monday,7,0.0
2014-01-06 08:00:00,0.0,0.0,0.0,1.4,1.0,0.0,0.0,0.0,2014,1,January,1,6,0,Monday,8,2.4
2014-01-06 09:00:00,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,2014,1,January,1,6,0,Monday,9,6.0
2014-01-06 10:00:00,0.0,0.0,1.0,0.3,0.0,0.0,3.0,0.0,2014,1,January,1,6,0,Monday,10,4.3
2014-01-06 11:00:00,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,2014,1,January,1,6,0,Monday,11,8.0
2014-01-06 12:00:00,1.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,2014,1,January,1,6,0,Monday,12,9.0
2014-01-06 13:00:00,1.0,0.0,0.0,8.0,1.0,2.0,0.0,1.0,2014,1,January,1,6,0,Monday,13,13.0
2014-01-06 14:00:00,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2014,1,January,1,6,0,Monday,14,5.0
2014-01-06 15:00:00,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2014,1,January,1,6,0,Monday,15,7.0
2014-01-06 16:00:00,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,6,0,Monday,16,0.5
2014-01-06 17:00:00,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2014,1,January,1,6,0,Monday,17,3.0
2014-01-06 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,6,0,Monday,18,0.0
2014-01-06 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,6,0,Monday,19,0.0
2014-01-06 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,6,0,Monday,20,0.0
2014-01-06 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,6,0,Monday,21,0.0
2014-01-06 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,January,1,6,0,Monday,22,0.0
