occupation,customers,median_income,median_deposits,customer_pct
Self Employed,879,874386.72,2304535.35,5.86
Retired,877,882612.94,2413327.43,5.85
Doctor,857,890030.93,2461199.72,5.71
Software Engineer,845,881398.42,2348471.71,5.63
Consultant,838,887507.105,2309975.3049999997,5.59
Sales Manager,836,864546.45,2268156.915,5.57
Factory Supervisor,831,874386.72,2351409.49,5.54
Teacher,826,874386.72,2332605.04,5.51
Business Owner,823,873539.59,2241818.07,5.49
Shop Owner,822,912710.15,2512022.335,5.48
Operations Manager,822,874386.72,2349642.6950000003,5.48
Accountant,815,874386.72,2305791.05,5.43
Marketing Manager,814,852908.7849999999,2290467.22,5.43
Lawyer,813,866652.62,2389137.13,5.42
Nurse,809,850553.15,2305128.94,5.39
Data Analyst,792,891442.2849999999,2488368.045,5.28
Architect,786,831295.54,2237029.87,5.24
Government Officer,765,871787.75,2302533.38,5.1
Unknown,150,847260.8899999999,2391857.48,1.0
