occupation,customers,median_income,median_deposits
Shop Owner,822,912710.15,2512022.335
Data Analyst,792,891442.2849999999,2488368.045
Doctor,857,890030.93,2461199.72
Retired,877,882612.94,2413327.43
Unknown,150,847260.8899999999,2391857.48
Lawyer,813,866652.62,2389137.13
Factory Supervisor,831,874386.72,2351409.49
Operations Manager,822,874386.72,2349642.6950000003
Software Engineer,845,881398.42,2348471.71
Teacher,826,874386.72,2332605.04
Consultant,838,887507.105,2309975.3049999997
Accountant,815,874386.72,2305791.05
Nurse,809,850553.15,2305128.94
Self Employed,879,874386.72,2304535.35
Government Officer,765,871787.75,2302533.38
Marketing Manager,814,852908.7849999999,2290467.22
Sales Manager,836,864546.45,2268156.915
Business Owner,823,873539.59,2241818.07
Architect,786,831295.54,2237029.87
