feature,importance,importance_pct
days_past_due,0.38985059176075204,38.99
risk_band,0.23201617188332746,23.2
missed_payments_12m,0.16783976496254938,16.78
debt_to_income_ratio,0.03903339489511323,3.9
credit_score,0.03342978208507371,3.34
loan_to_income_ratio,0.016483362055778883,1.65
loan_type,0.014522732838645188,1.45
loan_amount,0.012795906737253284,1.28
loan_purpose,0.011542403890421478,1.15
loan_term_months,0.007949760617312389,0.79
monthly_loan_payment,0.007851813096676121,0.79
existing_monthly_debt_payment,0.006352399647777537,0.64
collateral_type,0.005536838659256324,0.55
exposure_after_deposits,0.004600179710145009,0.46
interest_rate,0.004431677230492322,0.44
business_lending,0.0033105890095625917,0.33
annual_income,0.002883220614720736,0.29
credit_card_limit,0.0028550276641407597,0.29
credit_utilization_ratio,0.0028082838015328843,0.28
checking_balance,0.002803507644226105,0.28
monthly_income,0.0027398744734762484,0.27
credit_card_balance,0.002738983277691883,0.27
deposit_to_income_ratio,0.002583485138622983,0.26
loan_to_value_ratio,0.002567508426344363,0.26
total_deposit_balance,0.0024724719499648056,0.25
savings_balance,0.0024519966921124495,0.25
customer_tenure_years,0.0024233120018307148,0.24
bank_deposits,0.0024081516899011465,0.24
age,0.002316286479641291,0.23
banking_relationship,0.0018185257004071117,0.18
state,0.0013770318851202676,0.14
occupation,0.001185711558205082,0.12
city,0.0010609494383411675,0.11
loyalty_classification,0.0010183200026273403,0.1
employment_status,0.0010145261987023347,0.1
gender,0.000925456282253347,0.09
